股票代码,会计年度,接待次数,接待机构数,接待机构人员数,基金管理公司,证券公司,保险资产管理公司,寿险公司,投资公司,资产管理公司,期货经纪公司,其它
000010,2010,0,0,0,0,0,0,0,0,0,0,0
000010,2011,0,0,0,0,0,0,0,0,0,0,0
000010,2012,0,0,0,0,0,0,0,0,0,0,0
000010,2013,0,0,0,0,0,0,0,0,0,0,0
000010,2014,0,0,0,0,0,0,0,0,0,0,0
000010,2015,0,0,0,0,0,0,0,0,0,0,0
000010,2016,0,0,0,0,0,0,0,0,0,0,0
000010,2017,0,0,0,0,0,0,0,0,0,0,0
000010,2018,0,0,0,0,0,0,0,0,0,0,0
000010,2019,0,0,0,0,0,0,0,0,0,0,0
002491,2010,0,0,0,0,0,0,0,0,0,0,0
002491,2011,0,0,0,0,0,0,0,0,0,0,0
002491,2012,0,0,0,0,0,0,0,0,0,0,0
002491,2013,0,0,0,0,0,0,0,0,0,0,0
002491,2014,0,0,0,0,0,0,0,0,0,0,0
002491,2015,0,0,0,0,0,0,0,0,0,0,0
002491,2016,0,0,0,0,0,0,0,0,0,0,0
002491,2017,0,0,0,0,0,0,0,0,0,0,0
002491,2018,1,0,0,0,0,0,0,0,0,0,0
002491,2019,1,17,20,1,10,0,0,1,0,0,5
002607,2010,0,0,0,0,0,0,0,0,0,0,0
002607,2011,0,0,0,0,0,0,0,0,0,0,0
002607,2012,0,0,0,0,0,0,0,0,0,0,0
002607,2013,0,0,0,0,0,0,0,0,0,0,0
002607,2014,0,0,0,0,0,0,0,0,0,0,0
002607,2015,0,0,0,0,0,0,0,0,0,0,0
002607,2016,0,0,0,0,0,0,0,0,0,0,0
002607,2017,0,0,0,0,0,0,0,0,0,0,0
002607,2018,0,0,0,0,0,0,0,0,0,0,0
002607,2019,1,19,28,13,1,2,0,0,1,0,2
300583,2010,0,0,0,0,0,0,0,0,0,0,0
300583,2011,0,0,0,0,0,0,0,0,0,0,0
300583,2012,0,0,0,0,0,0,0,0,0,0,0
300583,2013,0,0,0,0,0,0,0,0,0,0,0
300583,2014,0,0,0,0,0,0,0,0,0,0,0
300583,2015,0,0,0,0,0,0,0,0,0,0,0
300583,2016,0,0,0,0,0,0,0,0,0,0,0
300583,2017,0,0,0,0,0,0,0,0,0,0,0
300583,2018,0,0,0,0,0,0,0,0,0,0,0
300583,2019,0,0,0,0,0,0,0,0,0,0,0
300687,2010,0,0,0,0,0,0,0,0,0,0,0
300687,2011,0,0,0,0,0,0,0,0,0,0,0
300687,2012,0,0,0,0,0,0,0,0,0,0,0
300687,2013,0,0,0,0,0,0,0,0,0,0,0
300687,2014,0,0,0,0,0,0,0,0,0,0,0
300687,2015,0,0,0,0,0,0,0,0,0,0,0
300687,2016,0,0,0,0,0,0,0,0,0,0,0
300687,2017,0,0,0,0,0,0,0,0,0,0,0
300687,2018,0,0,0,0,0,0,0,0,0,0,0
300687,2019,0,0,0,0,0,0,0,0,0,0,0
000548,2010,0,0,0,0,0,0,0,0,0,0,0
000548,2011,0,0,0,0,0,0,0,0,0,0,0
000548,2012,0,0,0,0,0,0,0,0,0,0,0
000548,2013,0,0,0,0,0,0,0,0,0,0,0
000548,2014,0,0,0,0,0,0,0,0,0,0,0
000548,2015,0,0,0,0,0,0,0,0,0,0,0
000548,2016,0,0,0,0,0,0,0,0,0,0,0
000548,2017,0,0,0,0,0,0,0,0,0,0,0
000548,2018,0,0,0,0,0,0,0,0,0,0,0
000548,2019,0,0,0,0,0,0,0,0,0,0,0
000566,2010,0,0,0,0,0,0,0,0,0,0,0
000566,2011,0,0,0,0,0,0,0,0,0,0,0
000566,2012,0,0,0,0,0,0,0,0,0,0,0
000566,2013,0,0,0,0,0,0,0,0,0,0,0
000566,2014,0,0,0,0,0,0,0,0,0,0,0
000566,2015,0,0,0,0,0,0,0,0,0,0,0
000566,2016,0,0,0,0,0,0,0,0,0,0,0
000566,2017,0,0,0,0,0,0,0,0,0,0,0
000566,2018,0,0,0,0,0,0,0,0,0,0,0
000566,2019,0,0,0,0,0,0,0,0,0,0,0
000735,2010,0,0,0,0,0,0,0,0,0,0,0
000735,2011,0,0,0,0,0,0,0,0,0,0,0
000735,2012,0,0,0,0,0,0,0,0,0,0,0
000735,2013,0,0,0,0,0,0,0,0,0,0,0
000735,2014,0,0,0,0,0,0,0,0,0,0,0
000735,2015,0,0,0,0,0,0,0,0,0,0,0
000735,2016,0,0,0,0,0,0,0,0,0,0,0
000735,2017,0,0,0,0,0,0,0,0,0,0,0
000735,2018,0,0,0,0,0,0,0,0,0,0,0
000735,2019,0,0,0,0,0,0,0,0,0,0,0
002493,2010,0,0,0,0,0,0,0,0,0,0,0
002493,2011,0,0,0,0,0,0,0,0,0,0,0
002493,2012,0,0,0,0,0,0,0,0,0,0,0
002493,2013,0,0,0,0,0,0,0,0,0,0,0
002493,2014,0,0,0,0,0,0,0,0,0,0,0
002493,2015,0,0,0,0,0,0,0,0,0,0,0
002493,2016,0,0,0,0,0,0,0,0,0,0,0
002493,2017,0,0,0,0,0,0,0,0,0,0,0
002493,2018,0,0,0,0,0,0,0,0,0,0,0
002493,2019,4,48,56,4,21,1,0,4,7,0,4
300230,2010,0,0,0,0,0,0,0,0,0,0,0
300230,2011,0,0,0,0,0,0,0,0,0,0,0
300230,2012,0,0,0,0,0,0,0,0,0,0,0
300230,2013,0,0,0,0,0,0,0,0,0,0,0
300230,2014,0,0,0,0,0,0,0,0,0,0,0
300230,2015,0,0,0,0,0,0,0,0,0,0,0
300230,2016,0,0,0,0,0,0,0,0,0,0,0
300230,2017,0,0,0,0,0,0,0,0,0,0,0
300230,2018,1,4,4,0,1,0,0,0,2,0,1
300230,2019,1,2,2,1,1,0,0,0,0,0,0
002259,2010,0,0,0,0,0,0,0,0,0,0,0
002259,2011,0,0,0,0,0,0,0,0,0,0,0
002259,2012,0,0,0,0,0,0,0,0,0,0,0
002259,2013,0,0,0,0,0,0,0,0,0,0,0
002259,2014,0,0,0,0,0,0,0,0,0,0,0
002259,2015,0,0,0,0,0,0,0,0,0,0,0
002259,2016,0,0,0,0,0,0,0,0,0,0,0
002259,2017,0,0,0,0,0,0,0,0,0,0,0
002259,2018,0,0,0,0,0,0,0,0,0,0,0
002259,2019,0,0,0,0,0,0,0,0,0,0,0
300425,2010,0,0,0,0,0,0,0,0,0,0,0
300425,2011,0,0,0,0,0,0,0,0,0,0,0
300425,2012,0,0,0,0,0,0,0,0,0,0,0
300425,2013,0,0,0,0,0,0,0,0,0,0,0
300425,2014,0,0,0,0,0,0,0,0,0,0,0
300425,2015,0,0,0,0,0,0,0,0,0,0,0
300425,2016,0,0,0,0,0,0,0,0,0,0,0
300425,2017,0,0,0,0,0,0,0,0,0,0,0
300425,2018,0,0,0,0,0,0,0,0,0,0,0
300425,2019,0,0,0,0,0,0,0,0,0,0,0
300780,2010,0,0,0,0,0,0,0,0,0,0,0
300780,2011,0,0,0,0,0,0,0,0,0,0,0
300780,2012,0,0,0,0,0,0,0,0,0,0,0
300780,2013,0,0,0,0,0,0,0,0,0,0,0
300780,2014,0,0,0,0,0,0,0,0,0,0,0
300780,2015,0,0,0,0,0,0,0,0,0,0,0
300780,2016,0,0,0,0,0,0,0,0,0,0,0
300780,2017,0,0,0,0,0,0,0,0,0,0,0
300780,2018,0,0,0,0,0,0,0,0,0,0,0
300780,2019,0,0,0,0,0,0,0,0,0,0,0
000568,2010,0,0,0,0,0,0,0,0,0,0,0
000568,2011,0,0,0,0,0,0,0,0,0,0,0
000568,2012,0,0,0,0,0,0,0,0,0,0,0
000568,2013,0,0,0,0,0,0,0,0,0,0,0
000568,2014,0,0,0,0,0,0,0,0,0,0,0
000568,2015,0,0,0,0,0,0,0,0,0,0,0
000568,2016,0,0,0,0,0,0,0,0,0,0,0
000568,2017,0,0,0,0,0,0,0,0,0,0,0
000568,2018,1,0,0,0,0,0,0,0,0,0,0
000568,2019,6,63,90,24,23,1,1,3,5,0,5
300064,2010,0,0,0,0,0,0,0,0,0,0,0
300064,2011,0,0,0,0,0,0,0,0,0,0,0
300064,2012,0,0,0,0,0,0,0,0,0,0,0
300064,2013,0,0,0,0,0,0,0,0,0,0,0
300064,2014,0,0,0,0,0,0,0,0,0,0,0
300064,2015,0,0,0,0,0,0,0,0,0,0,0
300064,2016,0,0,0,0,0,0,0,0,0,0,0
300064,2017,0,0,0,0,0,0,0,0,0,0,0
300064,2018,1,0,0,0,0,0,0,0,0,0,0
300064,2019,2,2,5,0,0,0,0,1,0,0,1
300298,2010,0,0,0,0,0,0,0,0,0,0,0
300298,2011,0,0,0,0,0,0,0,0,0,0,0
300298,2012,0,0,0,0,0,0,0,0,0,0,0
300298,2013,0,0,0,0,0,0,0,0,0,0,0
300298,2014,0,0,0,0,0,0,0,0,0,0,0
300298,2015,0,0,0,0,0,0,0,0,0,0,0
300298,2016,0,0,0,0,0,0,0,0,0,0,0
300298,2017,0,0,0,0,0,0,0,0,0,0,0
300298,2018,0,0,0,0,0,0,0,0,0,0,0
300298,2019,2,17,22,0,7,0,0,4,1,0,5
000725,2010,0,0,0,0,0,0,0,0,0,0,0
000725,2011,0,0,0,0,0,0,0,0,0,0,0
000725,2012,0,0,0,0,0,0,0,0,0,0,0
000725,2013,0,0,0,0,0,0,0,0,0,0,0
000725,2014,0,0,0,0,0,0,0,0,0,0,0
000725,2015,0,0,0,0,0,0,0,0,0,0,0
000725,2016,0,0,0,0,0,0,0,0,0,0,0
000725,2017,0,0,0,0,0,0,0,0,0,0,0
000725,2018,5,63,63,9,25,0,2,2,7,0,9
000725,2019,16,470,470,84,126,7,21,59,68,0,69
002079,2010,0,0,0,0,0,0,0,0,0,0,0
002079,2011,0,0,0,0,0,0,0,0,0,0,0
002079,2012,0,0,0,0,0,0,0,0,0,0,0
002079,2013,0,0,0,0,0,0,0,0,0,0,0
002079,2014,0,0,0,0,0,0,0,0,0,0,0
002079,2015,0,0,0,0,0,0,0,0,0,0,0
002079,2016,0,0,0,0,0,0,0,0,0,0,0
002079,2017,0,0,0,0,0,0,0,0,0,0,0
002079,2018,0,0,0,0,0,0,0,0,0,0,0
002079,2019,3,17,25,1,3,0,1,3,2,0,5
002129,2010,0,0,0,0,0,0,0,0,0,0,0
002129,2011,0,0,0,0,0,0,0,0,0,0,0
